time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,141,141,1071.659574468085,151104.0,2.417664,2.417664
1000.0,152,293,1015.8552631578947,305514.0,2.444112,2.47056
1500.0,154,447,945.7077922077922,451153.0,2.4061493333333335,2.330224
2000.0,130,577,1044.6846153846154,586962.0,2.347848,2.172944
2500.0,147,724,1041.0816326530612,740001.0,2.3680032,2.448624
3000.0,137,861,910.5620437956204,864748.0,2.3059946666666664,1.995952
3500.0,153,1014,1039.5098039215686,1023793.0,2.340098285714286,2.54472
4000.0,137,1151,1052.6204379562043,1168002.0,2.336004,2.307344
4500.0,129,1280,1097.1007751937984,1309528.0,2.3280497777777778,2.264416
5000.0,156,1436,981.0705128205128,1462575.0,2.34012,2.448752
5500.0,131,1567,1035.0839694656488,1598171.0,2.324612363636364,2.169536
6000.0,132,1699,975.469696969697,1726933.0,2.302577333333333,2.060192
6500.0,128,1827,1045.3359375,1860736.0,2.290136615384615,2.140848
7000.0,145,1972,976.7172413793104,2002360.0,2.2884114285714285,2.265984
7500.0,145,2117,1053.655172413793,2155140.0,2.298816,2.44448
8000.0,160,2277,1028.39375,2319683.0,2.319683,2.632688
8500.0,120,2397,954.1833333333333,2434185.0,2.290997647058824,1.832032
9000.0,128,2525,981.65625,2559837.0,2.2754106666666667,2.010432
9500.0,140,2665,994.9357142857143,2699128.0,2.2729498947368416,2.228656
10000.0,147,2812,986.2993197278912,2844114.0,2.2752912000000003,2.319776
10500.0,135,2947,955.0592592592593,2973047.0,2.2651786666666665,2.062928
11000.0,146,3093,995.0342465753424,3118322.0,2.267870545454546,2.3244
11500.0,130,3223,941.3615384615384,3240699.0,2.2543993043478263,1.958032
12000.0,148,3371,959.6418918918919,3382726.0,2.255150666666667,2.272432
12500.0,147,3518,920.3333333333334,3518015.0,2.2515295999999996,2.164624
13000.0,161,3679,987.7018633540373,3677035.0,2.2627907692307696,2.54432
13500.0,145,3824,1020.6620689655173,3825031.0,2.2666850370370373,2.367936
14000.0,128,3952,1079.6484375,3963226.0,2.2647005714285715,2.21112
14500.0,119,4071,1066.4621848739496,4090135.0,2.2566262068965512,2.030544
15000.0,143,4214,1021.93006993007,4236271.0,2.259344533333333,2.338176
15500.0,136,4350,1036.4044117647059,4377222.0,2.2592113548387096,2.255216
16000.0,141,4491,933.6099290780141,4508861.0,2.2544305,2.106224
16500.0,146,4637,1014.3698630136986,4656959.0,2.257919515151515,2.369568
17000.0,143,4780,975.6643356643357,4796479.0,2.257166588235294,2.23232
17500.0,150,4930,1043.24,4952965.0,2.2642125714285712,2.503776
18000.0,118,5048,920.9830508474577,5061641.0,2.2496182222222223,1.738816
18500.0,144,5192,934.5,5196209.0,2.2470092972972977,2.153088
19000.0,124,5316,1039.6612903225807,5325127.0,2.242158736842105,2.062688
19500.0,117,5433,1010.2820512820513,5443330.0,2.233161025641026,1.891248
20000.0,167,5600,1112.5748502994013,5629130.0,2.251652,2.9728000000000003
20500.0,125,5725,1003.144,5754523.0,2.245667512195122,2.006288
21000.0,145,5870,1087.3586206896553,5912190.0,2.252262857142857,2.522672
21500.0,123,5993,1008.8617886178862,6036280.0,2.2460576744186045,1.98544
22000.0,144,6137,955.6458333333334,6173893.0,2.245052,2.201808
22500.0,140,6277,1030.8357142857142,6318210.0,2.2464746666666664,2.3090719999999996
23000.0,133,6410,991.5037593984962,6450080.0,2.243506086956522,2.10992
23500.0,145,6555,995.3793103448276,6594410.0,2.244905531914894,2.30928
24000.0,137,6692,934.007299270073,6722369.0,2.2407896666666667,2.047344
24500.0,133,6825,959.9924812030075,6850048.0,2.236750367346939,2.042864
25000.0,144,6969,1051.7083333333333,7001494.0,2.24047808,2.423136
25500.0,148,7117,993.5878378378378,7148545.0,2.2426807843137255,2.352816
26000.0,142,7259,1024.9366197183099,7294086.0,2.2443341538461534,2.328656
26500.0,149,7408,1026.5369127516778,7447040.0,2.248163018867925,2.447264
27000.0,139,7547,1069.8057553956835,7595743.0,2.250590518518518,2.379248
27500.0,137,7684,934.7664233576643,7723806.0,2.246925381818182,2.049008
28000.0,138,7822,941.0072463768116,7853665.0,2.243904285714286,2.077744
28500.0,135,7957,1063.5185185185185,7997240.0,2.244839298245614,2.2972
29000.0,147,8104,970.5238095238095,8139907.0,2.2454915862068967,2.282672
29500.0,128,8232,1031.203125,8271901.0,2.2432273898305084,2.111904
30000.0,145,8377,970.7103448275863,8412654.0,2.2433744000000004,2.252048
30500.0,146,8523,974.4657534246576,8554926.0,2.2439150163934425,2.276352
31000.0,132,8655,946.060606060606,8679806.0,2.239949935483871,1.99808
31500.0,123,8778,980.6666666666666,8800428.0,2.2350293333333333,1.929952
32000.0,149,8927,980.1006711409397,8946463.0,2.23661575,2.33656
32500.0,146,9073,998.945205479452,9092309.0,2.2381068307692304,2.333536
33000.0,131,9204,999.1679389312977,9223200.0,2.235927272727273,2.094256
33500.0,132,9336,953.4469696969697,9349055.0,2.232610149253732,2.01368
34000.0,139,9475,996.1870503597122,9487525.0,2.232358823529412,2.21552
34500.0,160,9635,973.15625,9643230.0,2.2361113043478262,2.49128
35000.0,145,9780,1063.7241379310344,9797470.0,2.2394217142857142,2.46784
35500.0,132,9912,906.8409090909091,9917173.0,2.2348558873239432,1.915248
36000.0,144,10056,993.7777777777778,1.0060277E7,2.235617111111111,2.289664
36500.0,135,10191,959.8740740740741,1.018986E7,2.23339397260274,2.073328
37000.0,131,10322,1098.0687022900763,1.0333707E7,2.2343150270270273,2.301552
37500.0,146,10468,1001.445205479452,1.0479918E7,2.2357158399999997,2.339376
38000.0,126,10594,899.3809523809524,1.059324E7,2.2301557894736845,1.813152
38500.0,127,10721,1003.1574803149606,1.0720641E7,2.2276656623376625,2.038416
39000.0,132,10853,1025.0227272727273,1.0855944E7,2.2268603076923075,2.164848
39500.0,139,10992,1023.9424460431654,1.0998272E7,2.227498126582278,2.277248
40000.0,136,11128,1030.2132352941176,1.1138381E7,2.2276762,2.241744
40500.0,129,11257,1041.2558139534883,1.1272703E7,2.2267067654320982,2.149152
