time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
500.0,297,297,981.8013468013468,291595.0,Infinity,Infinity
1000.0,294,591,1003.1666666666666,586526.0,9.384416,4.718896
1500.0,307,898,965.0618892508144,882800.0,7.0624,4.740384
2000.0,296,1194,1008.8175675675676,1181410.0,6.300853333333333,4.77776
2500.0,294,1488,1015.7721088435375,1480047.0,5.920188,4.778192
3000.0,308,1796,962.8668831168832,1776610.0,5.685152,4.745008
3500.0,297,2093,1010.2457912457912,2076653.0,5.537741333333333,4.800688
4000.0,293,2386,1020.5938566552901,2375687.0,5.430141714285715,4.784544
4500.0,275,2661,1101.0036363636364,2678463.0,5.356926,4.844416
5000.0,296,2957,1010.418918918919,2977547.0,5.293416888888889,4.785344
5500.0,291,3248,1035.429553264605,3278857.0,5.2461712,4.820960000000001
6000.0,297,3545,1004.5252525252525,3577201.0,5.2032014545454555,4.773504
6500.0,293,3838,1016.5699658703072,3875056.0,5.166741333333333,4.76568
7000.0,294,4132,1019.078231292517,4174665.0,5.138049230769231,4.793744
7500.0,289,4421,1026.726643598616,4471389.0,5.110158857142857,4.747584
8000.0,303,4724,981.7293729372938,4768853.0,5.0867765333333335,4.759424
8500.0,301,5025,995.8338870431894,5068599.0,5.068599,4.795936
9000.0,301,5326,983.5714285714286,5364654.0,5.049086117647059,4.73688
9500.0,295,5621,1017.871186440678,5664926.0,5.035489777777778,4.804352
10000.0,290,5911,1038.5448275862068,5966104.0,5.024087578947368,4.818847999999999
10500.0,305,6216,969.3081967213114,6261743.0,5.009394400000001,4.730224
11000.0,293,6509,1007.8976109215017,6557057.0,4.995852952380952,4.725024
11500.0,306,6815,968.3529411764706,6853373.0,4.984271272727272,4.741056
12000.0,293,7108,1018.7713310580205,7151873.0,4.975216,4.776
12500.0,293,7401,1014.4607508532423,7449110.0,4.966073333333334,4.755792
13000.0,316,7717,928.617088607595,7742553.0,4.9552339199999995,4.695088
13500.0,288,8005,1040.486111111111,8042213.0,4.949054153846154,4.79456
14000.0,287,8292,1051.9581881533102,8344125.0,4.9446666666666665,4.830592
14500.0,291,8583,1015.1202749140894,8639525.0,4.936871428571428,4.7264
15000.0,295,8878,1011.6881355932203,8937973.0,4.931295448275862,4.775168
15500.0,290,9168,1034.7,9238036.0,4.926952533333333,4.801008
16000.0,304,9472,978.7861842105264,9535587.0,4.921593290322581,4.760816
16500.0,302,9774,988.0264900662252,9833971.0,4.9169855,4.774144
17000.0,304,10078,981.1184210526316,1.0132231E7,4.9125968484848475,4.77216
17500.0,298,10376,990.7348993288591,1.042747E7,4.9070447058823525,4.723824
18000.0,304,10680,971.733552631579,1.0722877E7,4.901886628571428,4.726512
18500.0,306,10986,963.7973856209151,1.1017799E7,4.896799555555555,4.718752
19000.0,299,11285,997.1170568561873,1.1315937E7,4.893378162162162,4.770208
19500.0,294,11579,1012.3911564625851,1.161358E7,4.889928421052631,4.762288
20000.0,283,11862,1063.1519434628976,1.1914452E7,4.887980307692308,4.813952000000001
20500.0,303,12165,983.7491749174917,1.2212528E7,4.8850112,4.769216
21000.0,298,12463,992.3691275167786,1.2508254E7,4.881269853658536,4.731616
21500.0,298,12761,1002.8557046979865,1.2807105E7,4.878897142857142,4.781616
22000.0,305,13066,974.127868852459,1.3104214E7,4.875986604651162,4.753744
22500.0,291,13357,1021.6048109965636,1.3401501E7,4.873273090909091,4.756592
23000.0,301,13658,984.78073089701,1.369792E7,4.870371555555555,4.742704
23500.0,312,13970,943.1442307692307,1.3992181E7,4.866845565217392,4.708176
24000.0,295,14265,1000.477966101695,1.4287322E7,4.863769191489363,4.722256
24500.0,285,14550,1045.9754385964911,1.4585425E7,4.861808333333333,4.769648
25000.0,293,14843,1028.9726962457337,1.4886914E7,4.861033142857143,4.823823999999999
25500.0,300,15143,987.1566666666666,1.5183061E7,4.85857952,4.738352
26000.0,298,15441,1000.2080536912752,1.5481123E7,4.8568229019607845,4.768992
26500.0,301,15742,977.4119601328904,1.5775324E7,4.853945846153846,4.707216
27000.0,290,16032,1041.6344827586206,1.6077398E7,4.853554113207547,4.833184
27500.0,296,16328,1006.3243243243244,1.637527E7,4.851931851851852,4.765952
