time[ms],#packets last interval ,#packets overall,avrg last interval [ms],max last interval [ms],avrg overall [ms],overall max overall [ms],BinWidth[ms],Histogram
0.0,0,0,NaN,0.0,NaN,NaN,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
400.0,68,68,35.944205882352946,133.83499999999998,35.944205882352946,133.83499999999998,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 
800.0,74,142,50.319783783783784,101.404,43.43570422535212,116.93433802816901,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 2 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 2 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 2 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 31 
1200.0,68,210,56.8398823529412,83.68899999999996,47.776104761904776,106.16918095238094,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 2 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 2 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 1 1 0 2 0 1 0 1 1 2 4 1 1 0 0 0 1 1 0 0 1 2 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 3 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 2 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 64 
1600.0,71,281,52.389704225352126,110.34899999999993,48.9418185053381,107.2252918149466,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 2 0 1 1 0 0 0 1 3 0 0 1 0 1 0 1 2 1 2 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 0 0 0 1 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 1 1 1 2 0 1 0 1 1 2 4 1 2 0 0 0 1 1 0 0 1 2 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 3 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 2 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 2 2 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 2 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 87 
2000.0,69,350,49.60882608695652,107.62299999999982,49.0733142857143,107.30369714285709,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 2 0 0 1 2 0 1 1 0 0 0 1 3 0 0 1 0 1 0 1 2 1 2 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 2 1 0 0 0 1 0 2 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 1 2 0 0 2 0 1 0 0 1 1 1 2 0 1 0 2 1 3 4 1 3 0 0 1 1 1 0 0 1 2 2 1 0 0 1 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 2 1 1 1 0 1 1 0 0 0 0 0 0 0 1 1 1 3 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 1 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 2 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 3 0 1 1 1 1 2 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 1 4 2 0 0 0 0 0 1 0 1 2 0 1 0 1 0 0 0 1 0 1 1 0 0 2 0 0 0 0 0 0 0 1 1 1 0 0 0 2 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 1 109 
2400.0,68,418,59.69820588235297,87.01699999999983,50.80176555023925,104.00346889952145,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 2 0 0 1 2 0 1 1 0 0 0 1 3 0 0 1 0 1 0 1 2 1 2 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 2 1 0 0 0 1 0 2 0 2 2 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 1 1 2 0 0 2 0 1 0 0 1 1 2 2 0 1 1 2 1 3 4 1 3 1 0 1 1 1 0 0 1 2 2 1 0 0 1 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 2 1 1 1 0 1 1 0 0 0 0 0 0 0 1 1 1 3 0 1 1 1 2 0 0 0 0 0 0 0 0 0 1 1 0 1 3 1 0 1 0 1 1 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 1 0 0 1 1 1 0 0 1 2 0 1 2 0 0 0 0 2 2 0 0 0 0 2 1 0 0 0 1 0 0 1 0 3 0 2 1 1 1 3 0 0 3 1 0 0 0 0 0 0 1 1 1 1 0 2 4 2 0 0 1 0 0 1 0 1 2 0 1 0 1 0 0 0 1 0 1 1 0 0 4 0 1 1 0 0 0 1 1 1 2 0 0 0 2 1 2 0 1 2 1 0 2 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 1 142 
2800.0,66,484,41.13989393939396,96.54500000000007,49.4842376033058,102.98640495867762,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 3 0 0 0 0 1 0 0 0 1 0 0 2 2 0 0 0 0 1 1 0 0 0 0 1 2 1 0 0 0 0 0 1 1 1 0 0 0 0 2 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 3 0 0 2 0 0 1 2 0 1 1 0 0 0 1 3 0 0 1 0 1 0 1 2 1 3 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 2 1 2 1 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 2 1 0 0 0 1 0 2 1 3 2 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 1 1 3 0 0 2 0 1 0 0 1 1 2 2 0 1 1 2 1 3 4 1 4 1 1 1 1 1 1 0 1 2 3 1 0 0 1 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 2 1 1 1 1 1 1 0 0 0 1 0 0 0 1 1 1 3 0 1 1 1 2 0 0 0 0 0 0 0 0 0 1 1 0 1 3 1 0 1 0 1 1 2 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 1 1 0 1 1 1 1 0 1 2 0 1 2 0 0 0 0 2 2 0 0 0 0 2 1 0 0 0 1 0 0 1 0 3 0 2 1 1 1 3 0 0 3 2 0 0 0 0 0 0 1 1 1 1 0 2 4 2 0 0 1 0 0 1 1 1 3 0 1 0 1 0 0 0 1 0 1 2 0 0 4 0 1 1 0 0 0 1 1 1 2 0 0 0 2 1 2 0 1 3 1 0 2 0 2 1 0 0 1 0 1 1 1 0 0 0 1 0 1 159 
3200.0,68,552,60.45983823529409,105.83199999999988,50.8363043478261,103.33694927536226,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 3 0 0 0 0 1 0 0 0 1 0 0 2 2 0 0 0 0 1 1 0 0 0 0 1 2 1 0 0 0 0 0 1 1 1 0 0 0 0 2 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 3 0 0 2 0 0 1 2 0 1 1 0 0 0 1 3 0 0 1 0 1 0 1 2 1 3 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 2 1 2 1 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 2 1 0 0 0 1 0 2 1 3 2 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 2 1 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 1 0 0 1 1 3 0 0 2 0 1 0 0 1 1 2 2 0 1 1 2 1 3 5 1 4 1 1 1 1 3 1 0 1 2 5 1 0 0 1 0 1 0 1 0 0 0 3 0 0 1 1 0 0 0 2 1 1 1 2 1 1 0 0 0 1 0 1 0 1 1 1 4 2 1 1 2 2 0 1 1 0 1 1 0 0 0 1 1 0 1 3 1 0 2 0 1 1 2 1 0 1 0 0 0 0 1 1 1 0 2 0 0 0 1 0 2 0 0 0 0 1 0 1 0 0 2 2 0 0 0 0 1 1 0 2 1 1 1 0 2 2 0 1 2 0 0 0 0 3 2 0 0 0 0 2 1 1 0 0 1 0 1 1 0 3 0 2 1 1 1 3 0 0 3 2 0 0 0 0 0 0 1 1 2 1 0 2 5 2 1 0 1 0 0 1 1 1 3 0 1 0 1 0 0 0 1 0 1 2 0 0 4 0 1 1 0 0 0 1 1 1 2 0 0 0 2 1 2 0 1 3 1 0 2 0 3 1 1 0 1 0 2 1 1 0 0 0 1 1 1 188 
3600.0,80,632,44.9058625,90.50199999999995,50.08561550632913,101.71227215189867,0.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 2 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 3 0 0 0 0 1 0 0 0 2 0 0 2 2 0 1 0 0 1 1 0 0 0 0 1 2 1 0 0 0 0 0 1 1 1 0 1 0 0 2 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 3 0 0 2 0 0 1 2 0 2 1 0 0 1 1 3 0 0 1 0 2 0 1 2 1 3 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 0 0 0 1 1 0 2 1 2 1 1 0 0 0 0 0 0 0 1 0 0 2 1 0 1 2 1 0 0 0 1 0 2 2 3 2 0 0 0 0 1 0 1 0 1 1 0 0 2 1 0 1 0 1 1 0 2 1 0 1 1 1 0 0 0 2 0 1 0 0 0 0 0 0 1 0 1 1 1 2 2 1 1 1 0 0 1 0 1 1 1 4 1 0 2 0 1 0 0 1 1 2 2 0 1 1 3 1 3 5 1 4 2 2 1 1 4 1 1 1 2 5 1 1 0 1 0 1 0 1 0 0 0 3 0 0 1 1 0 0 0 2 1 1 1 2 2 1 0 0 0 1 0 1 0 1 1 1 4 2 1 1 2 2 1 1 1 0 1 1 0 0 2 1 1 0 1 3 1 1 2 0 1 1 2 2 0 1 0 0 0 1 1 1 1 0 2 0 0 0 1 0 2 0 1 0 0 1 0 1 0 0 2 2 0 0 1 1 1 1 0 2 1 1 1 0 2 2 0 1 2 0 0 0 0 3 3 1 1 0 0 3 2 1 0 1 1 0 1 1 0 3 1 2 1 1 3 4 1 0 3 2 1 1 0 1 1 0 1 2 3 1 1 2 5 2 1 0 1 0 0 1 1 1 3 0 1 1 2 0 0 0 2 0 1 2 0 0 4 0 1 1 0 0 1 1 1 1 2 0 0 0 2 1 2 1 2 3 1 1 2 0 4 1 1 1 2 0 3 1 1 0 0 0 1 1 1 199 
