time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
400.0,3894,3894,1004.623009758603,3912002.0,Infinity,Infinity
800.0,3926,7820,1030.965359144167,7959572.0,159.19144,80.95139999999999
1200.0,3813,11633,1019.7629163388408,1.1847928E7,118.47928,77.76712
1600.0,3832,15465,1010.5018267223383,1.5720171E7,104.80114,77.44486
2000.0,3782,19247,1018.0425700687467,1.9570408E7,97.85204,77.00474
2400.0,3948,23195,1029.189969604863,2.363365E7,94.5346,81.26483999999999
2800.0,3888,27083,1042.3654835390946,2.7686367E7,92.28789,81.05434000000001
3200.0,3926,31009,1005.064187468161,3.1632249E7,90.37785428571428,78.91764
3600.0,3815,34824,1021.1208387942332,3.5527825E7,88.8195625,77.91152
4000.0,3923,38747,1031.8080550599032,3.9575608E7,87.94579555555555,80.95566
4400.0,3937,42684,1015.6875793751587,4.357437E7,87.14874,79.97524
4800.0,3924,46608,1020.2838939857288,4.7577964E7,86.50538909090908,80.07188
5200.0,3854,50462,1023.9984431759211,5.1524454E7,85.87409,78.9298
5600.0,3846,54308,1017.8380135205408,5.5439059E7,85.29086,78.2921
6000.0,3822,58130,1023.6007326007326,5.9351261E7,84.78751571428572,78.24404
6400.0,3892,62022,1015.2677286742035,6.3302683E7,84.40357733333333,79.02844
6800.0,3866,65888,1011.1210553543715,6.7211677E7,84.01459625,78.17988
7200.0,3885,69773,1015.8380952380952,7.1158208E7,83.71553882352941,78.93061999999999
7600.0,3835,73608,1018.9082138200782,7.5065721E7,83.40635666666667,78.15026
8000.0,3827,77435,1018.6357460151555,7.896404E7,83.12004210526315,77.96638
8400.0,3836,81271,1026.9825338894682,8.2903545E7,82.903545,78.7901
8800.0,3825,85096,1009.3035294117647,8.6764131E7,82.63250571428571,77.21172
9200.0,3893,88989,1021.451066015926,9.074064E7,82.49149090909091,79.53018
9600.0,3891,92880,1024.7250064250836,9.4727845E7,82.37203913043479,79.7441
10000.0,3881,96761,1031.6544704972946,9.8731696E7,82.27641333333332,80.07702
10400.0,3845,100606,1022.88244473342,1.02664679E8,82.1317432,78.65966
10800.0,3849,104455,1017.2987789036114,1.06580262E8,81.98481692307693,78.31165999999999
11200.0,3800,108255,1035.4305263157894,1.10514898E8,81.86288740740741,78.69271999999998
11600.0,3792,112047,1013.273470464135,1.14357231E8,81.68373642857144,76.84666
12000.0,3872,115919,1023.8478822314049,1.1832157E8,81.60108275862069,79.28678
12400.0,3819,119738,1021.1034302173343,1.22221164E8,81.480776,77.99188
12800.0,3898,123636,1021.0061570035916,1.26201046E8,81.42002967741935,79.59764
13200.0,3884,127520,1041.5478887744594,1.30246418E8,81.40401125,80.90744000000001
13600.0,3846,131366,1014.9126365054602,1.34149772E8,81.30289212121212,78.06708
14000.0,3855,135221,1018.9138780804151,1.38077685E8,81.22216764705882,78.55826
14400.0,3797,139018,1020.1830392415064,1.4195132E8,81.11504,77.4727
14800.0,3900,142918,1019.9497435897435,1.45929124E8,81.07173555555555,79.55608
15200.0,3924,146842,1020.9322120285423,1.49935262E8,81.04608756756755,80.12276
15600.0,3910,150752,1028.9322250639386,1.53958387E8,81.03073,80.4625
16000.0,3826,154578,1010.28593831678,1.57823741E8,80.9352517948718,77.30708
16400.0,3798,158376,1023.6269088994208,1.61711476E8,80.855738,77.7547
16800.0,3765,162141,1010.120849933599,1.65514581E8,80.73882,76.0621
17200.0,3951,166092,1017.7858769931663,1.69535853E8,80.73135857142857,80.42544
17600.0,3791,169883,1020.2413611184384,1.73403588E8,80.65283162790696,77.35470000000001
18000.0,3875,173758,1027.1651612903227,1.77383853E8,80.6290240909091,79.60530000000001
18400.0,3820,177578,1022.2840314136125,1.81288978E8,80.5728791111111,78.10249999999999
18800.0,3930,181508,1011.521882951654,1.85264259E8,80.54967782608696,79.50562
19200.0,3934,185442,1004.1855617691916,1.89214725E8,80.51690425531915,79.00932
19600.0,3898,189340,1019.8394048229861,1.93190059E8,80.49585791666665,79.50668
20000.0,3908,193248,1026.9726202661209,1.97203468E8,80.49121142857143,80.26818
20400.0,3829,197077,1022.8446069469835,2.0111994E8,80.447976,78.32944
20800.0,3927,201004,1021.6195569136746,2.0513184E8,80.44385882352942,80.238
21200.0,3965,204969,995.6378310214376,2.09079544E8,80.41520923076924,78.95408
21600.0,3891,208860,1022.1917244924184,2.13056892E8,80.39882716981133,79.54696
22000.0,3828,212688,1019.9043887147335,2.16961086E8,80.35595777777777,78.08388
22400.0,3831,216519,1014.1991647089533,2.20846483E8,80.307812,77.70794000000001
22800.0,3889,220408,1018.7765492414502,2.24808505E8,80.28875178571428,79.24044
23200.0,3941,224349,1052.481603653895,2.28956335E8,80.33555614035087,82.95660000000001
23600.0,3744,228093,1017.105235042735,2.32764377E8,80.26357827586207,76.16084
24000.0,3790,231883,1003.9076517150396,2.36569187E8,80.1929447457627,76.0962
24400.0,3891,235774,1028.958365458751,2.40572864E8,80.19095466666667,80.07354
24800.0,3833,239607,1003.9718236368379,2.44421088E8,80.13806163934426,76.96448000000001
25200.0,3870,243477,1017.0609819121447,2.48357114E8,80.11519806451612,78.72052
25600.0,3732,247209,1012.5927116827438,2.5213611E8,80.04320952380952,75.57992
26000.0,3872,251081,1027.5185950413222,2.56114662E8,80.035831875,79.57104
26400.0,3832,254913,1016.0159185803758,2.60008035E8,80.0024723076923,77.86746
26800.0,3869,258782,1039.9444300852933,2.6403158E8,80.0095696969697,80.4709
27200.0,3979,262761,1007.4488564966072,2.68040219E8,80.0120056716418,80.17277999999999
27600.0,3928,266689,1013.2074847250509,2.72020098E8,80.00591117647059,79.59758
28000.0,3833,270522,1017.924863031568,2.75921804E8,79.97733449275363,78.03412
28400.0,3904,274426,1035.404713114754,2.79964024E8,79.98972114285715,80.8444
28800.0,3843,278269,1020.7392661982826,2.83886725E8,79.96809154929576,78.45402
29200.0,3875,282144,1011.912,2.87807884E8,79.94663444444444,78.42318
29600.0,3793,285937,1033.775902979172,2.91728996E8,79.92575232876712,78.42223999999999
30000.0,3909,289846,1023.3159375799437,2.95729138E8,79.92679405405406,80.00284
30400.0,3766,293612,1013.1909187466808,2.99544815E8,79.87861733333332,76.31354
30800.0,3803,297415,1029.6187220615304,3.03460455E8,79.85801447368421,78.31280000000001
