time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
400.0,172,172,877.4883720930233,150928.0,3.01856,3.01856
800.0,210,382,998.2904761904762,360569.0,3.60569,4.19282
1200.0,232,614,945.5344827586207,579933.0,3.86622,4.3872800000000005
1600.0,211,825,1012.6492890995261,793602.0,3.96801,4.2733799999999995
2000.0,230,1055,1041.3130434782609,1033104.0,4.132416,4.790039999999999
2400.0,230,1285,957.0869565217391,1253234.0,4.1774466666666665,4.4026
2800.0,240,1525,985.4541666666667,1489743.0,4.256408571428571,4.73018
3200.0,230,1755,1039.3565217391304,1728795.0,4.3219875,4.781039999999999
3600.0,197,1952,999.8883248730964,1925773.0,4.279495555555555,3.9395599999999997
4000.0,216,2168,959.7175925925926,2133072.0,4.266144,4.14598
4400.0,210,2378,1017.7857142857143,2346807.0,4.266921818181817,4.2747
4800.0,217,2595,1019.3778801843318,2568012.0,4.28002,4.4241
5200.0,212,2807,961.3301886792453,2771814.0,4.264329230769231,4.07604
5600.0,223,3030,984.3811659192825,2991331.0,4.27333,4.39034
6000.0,214,3244,994.4766355140187,3204149.0,4.272198666666666,4.25636
6400.0,209,3453,1019.8229665071771,3417292.0,4.271615,4.26286
6800.0,187,3640,1010.2941176470588,3606217.0,4.242608235294117,3.7785
7200.0,215,3855,1094.9906976744187,3841640.0,4.268488888888889,4.7084600000000005
7600.0,204,4059,980.5098039215686,4041664.0,4.254383157894736,4.0004800000000005
8000.0,209,4268,1054.9952153110048,4262158.0,4.262158,4.40988
8400.0,194,4462,946.5979381443299,4445798.0,4.234093333333333,3.6728
8800.0,200,4662,941.61,4634120.0,4.212836363636364,3.76644
9200.0,183,4845,985.2677595628415,4814424.0,4.186455652173913,3.60608
9600.0,223,5068,1035.8161434977578,5045411.0,4.204509166666667,4.61974
10000.0,224,5292,991.2633928571429,5267454.0,4.2139632,4.44086
10400.0,210,5502,927.7809523809524,5462288.0,4.20176,3.89668
10800.0,226,5728,970.6150442477876,5681647.0,4.208627407407407,4.38718
11200.0,190,5918,1032.5526315789473,5877832.0,4.1984514285714285,3.9236999999999993
11600.0,200,6118,994.335,6076699.0,4.190826896551725,3.97734
12000.0,227,6345,1029.374449339207,6310367.0,4.206911333333333,4.67336
12400.0,194,6539,958.840206185567,6496382.0,4.191214193548387,3.7203000000000004
12800.0,230,6769,1056.9739130434782,6739486.0,4.21217875,4.86208
13200.0,203,6972,983.8128078817734,6939200.0,4.205575757575758,3.99428
13600.0,209,7181,982.9521531100479,7144637.0,4.202727647058823,4.10874
14000.0,202,7383,979.940594059406,7342585.0,4.1957628571428565,3.9589600000000003
14400.0,211,7594,1027.0710900473935,7559297.0,4.199609444444444,4.33424
14800.0,204,7798,1028.2205882352941,7769054.0,4.199488648648648,4.19514
15200.0,211,8009,949.0189573459716,7969297.0,4.194366842105264,4.00486
15600.0,207,8216,1069.1159420289855,8190604.0,4.200309743589743,4.42614
16000.0,226,8442,997.3008849557522,8415994.0,4.207997,4.5078000000000005
16400.0,190,8632,1031.6,8611998.0,4.200974634146341,3.9200799999999996
16800.0,195,8827,1019.0461538461539,8810712.0,4.195577142857143,3.9742800000000003
17200.0,202,9029,964.8019801980198,9005602.0,4.188652093023255,3.8978
17600.0,235,9264,1036.9191489361701,9249278.0,4.204217272727273,4.873519999999999
18000.0,180,9444,998.9888888888889,9429096.0,4.190709333333333,3.5963600000000002
18400.0,217,9661,989.5852534562212,9643836.0,4.192972173913043,4.2947999999999995
18800.0,223,9884,984.0269058295964,9863274.0,4.197137872340426,4.3887599999999996
19200.0,213,10097,969.4413145539907,1.0069765E7,4.195735416666666,4.1298200000000005
19600.0,197,10294,1016.6142131979695,1.0270038E7,4.19185224489796,4.00546
20000.0,188,10482,1010.6542553191489,1.0460041E7,4.1840164,3.80006
20400.0,203,10685,950.64039408867,1.0653021E7,4.177655294117646,3.8596000000000004
20800.0,215,10900,1021.0883720930233,1.0872555E7,4.181751923076923,4.39068
21200.0,211,11111,947.9478672985782,1.1072572E7,4.178329056603774,4.00034
21600.0,245,11356,999.7632653061224,1.1317514E7,4.191671851851852,4.89884
22000.0,235,11591,1000.3914893617022,1.1552606E7,4.200947636363637,4.70184
22400.0,209,11800,1001.3636363636364,1.1761891E7,4.200675357142857,4.1857
22800.0,203,12003,1027.1133004926107,1.1970395E7,4.200138596491228,4.17008
23200.0,213,12216,1049.7558685446008,1.2193993E7,4.204825172413793,4.471959999999999
23600.0,219,12435,1028.8036529680364,1.2419301E7,4.209932542372881,4.5061599999999995
24000.0,218,12653,959.2614678899082,1.262842E7,4.209473333333333,4.18238
24400.0,210,12863,942.1190476190476,1.2826265E7,4.205332786885246,3.9569
24800.0,195,13058,1019.5538461538462,1.3025078E7,4.201638064516129,3.97626
25200.0,222,13280,1043.7792792792793,1.3256797E7,4.208506984126984,4.63438
25600.0,192,13472,979.6822916666666,1.3444896E7,4.20153,3.76198
26000.0,213,13685,1017.6713615023474,1.366166E7,4.203587692307692,4.33528
26400.0,213,13898,998.7605633802817,1.3874396E7,4.204362424242424,4.25472
26800.0,201,14099,906.6268656716418,1.4056628E7,4.196008358208955,3.64464
27200.0,226,14325,1056.1592920353983,1.429532E7,4.204505882352942,4.77384
27600.0,201,14526,1024.9004975124378,1.4501325E7,4.203282608695653,4.1201
28000.0,218,14744,969.802752293578,1.4712742E7,4.203640571428571,4.22834
28400.0,211,14955,991.8388625592418,1.492202E7,4.203385915492958,4.18556
28800.0,191,15146,1039.6806282722514,1.5120599E7,4.200166388888889,3.9715800000000008
29200.0,207,15353,981.0483091787439,1.5323676E7,4.198267397260274,4.06154
29600.0,202,15555,1057.7920792079208,1.553735E7,4.199283783783784,4.27348
30000.0,202,15757,955.1039603960396,1.5730281E7,4.1947416,3.8586199999999997
30400.0,195,15952,1011.5230769230769,1.5927528E7,4.191454736842105,3.94494
30800.0,192,16144,1083.65625,1.613559E7,4.191062337662338,4.16124
31200.0,174,16318,988.235632183908,1.6307543E7,4.181421282051282,3.43906
31600.0,203,16521,998.2364532019704,1.6510185E7,4.179793670886076,4.05284
32000.0,219,16740,1056.662100456621,1.6741594E7,4.185398500000001,4.6281799999999995
32400.0,219,16959,1093.4703196347032,1.6981064E7,4.192855308641975,4.7894
32800.0,194,17153,1014.4329896907217,1.7177864E7,4.189722926829269,3.936
33200.0,217,17370,998.5852534562212,1.7394557E7,4.191459518072289,4.33386
33600.0,229,17599,964.3973799126637,1.7615404E7,4.19414380952381,4.416939999999999
34000.0,216,17815,1010.5601851851852,1.7833685E7,4.196161176470589,4.36562
34400.0,236,18051,1007.6059322033898,1.807148E7,4.2026697674418605,4.7559000000000005
34800.0,200,18251,993.45,1.827017E7,4.20003908045977,3.9738
35200.0,217,18468,937.3179723502304,1.8473568E7,4.198538181818183,4.06796
35600.0,173,18641,953.1271676300578,1.8638459E7,4.188417752808989,3.29782
36000.0,232,18873,1006.25,1.8871909E7,4.193757555555556,4.669
36400.0,230,19103,1005.3565217391305,1.9103141E7,4.198492527472528,4.624639999999999
36800.0,199,19302,905.3316582914573,1.9283302E7,4.192022173913044,3.60322
37200.0,231,19533,992.5411255411256,1.9512579E7,4.196253548387097,4.58554
37600.0,233,19766,957.9699570815451,1.9735786E7,4.199103404255319,4.4641399999999996
38000.0,202,19968,931.7029702970297,1.992399E7,4.194524210526317,3.7640800000000003
38400.0,191,20159,1036.9947643979058,2.0122056E7,4.192095,3.9613199999999997
38800.0,222,20381,1017.081081081081,2.0347848E7,4.195432577319588,4.51584
39200.0,197,20578,1058.8172588832488,2.0556435E7,4.195190816326531,4.17174
39600.0,219,20797,1006.0730593607306,2.0776765E7,4.197326262626262,4.4066
40000.0,223,21020,971.4170403587444,2.0993391E7,4.1986782,4.332520000000001
40400.0,185,21205,1028.081081081081,2.1183586E7,4.194769504950496,3.8039
40800.0,217,21422,961.8709677419355,2.1392312E7,4.194570980392157,4.17452
41200.0,207,21629,924.3333333333334,2.1583649E7,4.190999805825244,3.82674
41600.0,211,21840,1011.0995260663507,2.1796991E7,4.191729038461538,4.26684
42000.0,211,22051,983.7203791469194,2.2004556E7,4.191344,4.1513
42400.0,206,22257,955.6553398058253,2.2201421E7,4.188947358490566,3.9373000000000005
42800.0,226,22483,1000.5929203539823,2.2427555E7,4.192066355140187,4.52268
43200.0,228,22711,999.1842105263158,2.2655369E7,4.195438703703704,4.55628
43600.0,188,22899,1053.4308510638298,2.2853414E7,4.193286972477065,3.9609
44000.0,209,23108,957.7081339712919,2.3053575E7,4.191559090909091,4.00322
44400.0,209,23317,1018.1148325358852,2.3266361E7,4.192137117117117,4.25572
44800.0,224,23541,1010.5446428571429,2.3492723E7,4.195129107142856,4.52724
45200.0,189,23730,1043.6931216931216,2.3689981E7,4.192916991150443,3.945159999999999
45600.0,195,23925,1058.5282051282052,2.3896394E7,4.192349824561403,4.12826
46000.0,237,24162,967.7215189873418,2.4125744E7,4.195781565217391,4.587
46400.0,217,24379,971.4377880184331,2.4336546E7,4.195956206896552,4.21604
46800.0,205,24584,936.8243902439025,2.4528595E7,4.192922222222222,3.84098
47200.0,208,24792,961.3653846153846,2.4728559E7,4.191281186440678,3.99928
47600.0,191,24983,1049.6753926701572,2.4929047E7,4.189755798319327,4.009760000000001
48000.0,210,25193,967.3095238095239,2.5132182E7,4.188697,4.0627
48400.0,214,25407,1043.1635514018692,2.5355419E7,4.190978347107438,4.46474
48800.0,222,25629,986.5675675675676,2.5574437E7,4.192530655737705,4.38036
49200.0,212,25841,1018.683962264151,2.5790398E7,4.193560650406504,4.31922
49600.0,206,26047,1034.388349514563,2.6003482E7,4.194109999999999,4.26168
50000.0,202,26249,976.4455445544554,2.6200724E7,4.1921158400000005,3.94484
50400.0,200,26449,988.515,2.6398427E7,4.190226507936508,3.9540599999999997
50800.0,218,26667,966.1651376146789,2.6609051E7,4.190401732283465,4.21248
51200.0,208,26875,973.0528846153846,2.6811446E7,4.1892884375,4.0479
51600.0,212,27087,999.1415094339623,2.7023264E7,4.189653333333333,4.23636
52000.0,195,27282,952.2153846153847,2.7208946E7,4.1859916923076925,3.7136400000000003
52400.0,236,27518,1023.1186440677966,2.7450402E7,4.19090106870229,4.82912
52800.0,218,27736,937.1788990825688,2.7654707E7,4.1901071212121215,4.0861
53200.0,207,27943,926.2222222222222,2.7846435E7,4.187433834586466,3.83456
53600.0,220,28163,1015.9363636363636,2.8069941E7,4.189543432835821,4.4701200000000005
54000.0,201,28364,986.0796019900497,2.8268143E7,4.187873037037037,3.96404
54400.0,234,28598,934.8717948717949,2.8486903E7,4.18925044117647,4.3752
54800.0,259,28857,997.6138996138997,2.8745285E7,4.19639197080292,5.1676400000000005
55200.0,181,29038,1007.9281767955802,2.892772E7,4.192423188405797,3.6487000000000003
55600.0,217,29255,1082.5253456221199,2.9162628E7,4.1960615827338135,4.69816
56000.0,196,29451,1045.908163265306,2.9367626E7,4.195375142857142,4.099959999999999
56400.0,221,29672,1029.8506787330316,2.9595223E7,4.197903971631206,4.551939999999999
56800.0,209,29881,1039.8181818181818,2.9812545E7,4.19895,4.346439999999999
