time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
400.0,1,1,327.0,327.0,0.00654,0.00654
800.0,1,2,327.0,654.0,0.00654,0.00654
1200.0,0,2,NaN,654.0,0.00436,NaN
1600.0,1,3,327.0,981.0,0.004905,0.00654
2000.0,0,3,NaN,981.0,0.003924,NaN
2400.0,0,3,NaN,981.0,0.00327,NaN
2800.0,0,3,NaN,981.0,0.002802857142857143,NaN
3200.0,0,3,NaN,981.0,0.0024525,NaN
3600.0,1,4,327.0,1308.0,0.0029066666666666663,0.00654
4000.0,0,4,NaN,1308.0,0.002616,NaN
4400.0,0,4,NaN,1308.0,0.0023781818181818183,NaN
4800.0,0,4,NaN,1308.0,0.00218,NaN
5200.0,0,4,NaN,1308.0,0.0020123076923076926,NaN
5600.0,0,4,NaN,1308.0,0.0018685714285714284,NaN
6000.0,0,4,NaN,1308.0,0.001744,NaN
6400.0,0,4,NaN,1308.0,0.001635,NaN
6800.0,0,4,NaN,1308.0,0.0015388235294117646,NaN
7200.0,0,4,NaN,1308.0,0.0014533333333333332,NaN
7600.0,1,5,327.0,1635.0,0.0017210526315789474,0.00654
8000.0,1,6,327.0,1962.0,0.001962,0.00654
8400.0,0,6,NaN,1962.0,0.0018685714285714284,NaN
8800.0,0,6,NaN,1962.0,0.0017836363636363638,NaN
9200.0,0,6,NaN,1962.0,0.0017060869565217393,NaN
9600.0,0,6,NaN,1962.0,0.001635,NaN
10000.0,0,6,NaN,1962.0,0.0015696000000000002,NaN
10400.0,0,6,NaN,1962.0,0.001509230769230769,NaN
10800.0,0,6,NaN,1962.0,0.0014533333333333332,NaN
11200.0,0,6,NaN,1962.0,0.0014014285714285715,NaN
11600.0,0,6,NaN,1962.0,0.001353103448275862,NaN
12000.0,0,6,NaN,1962.0,0.001308,NaN
12400.0,0,6,NaN,1962.0,0.001265806451612903,NaN
12800.0,0,6,NaN,1962.0,0.00122625,NaN
13200.0,0,6,NaN,1962.0,0.0011890909090909092,NaN
13600.0,0,6,NaN,1962.0,0.0011541176470588235,NaN
14000.0,0,6,NaN,1962.0,0.001121142857142857,NaN
14400.0,0,6,NaN,1962.0,0.00109,NaN
14800.0,0,6,NaN,1962.0,0.0010605405405405407,NaN
15200.0,0,6,NaN,1962.0,0.0010326315789473683,NaN
15600.0,0,6,NaN,1962.0,0.0010061538461538463,NaN
16000.0,0,6,NaN,1962.0,9.81E-4,NaN
16400.0,0,6,NaN,1962.0,9.570731707317072E-4,NaN
16800.0,0,6,NaN,1962.0,9.342857142857142E-4,NaN
17200.0,0,6,NaN,1962.0,9.125581395348837E-4,NaN
17600.0,0,6,NaN,1962.0,8.918181818181819E-4,NaN
18000.0,0,6,NaN,1962.0,8.72E-4,NaN
18400.0,0,6,NaN,1962.0,8.530434782608697E-4,NaN
18800.0,0,6,NaN,1962.0,8.348936170212767E-4,NaN
19200.0,0,6,NaN,1962.0,8.175E-4,NaN
19600.0,0,6,NaN,1962.0,8.008163265306123E-4,NaN
20000.0,0,6,NaN,1962.0,7.848000000000001E-4,NaN
