time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,95,95,1159.8736842105263,110188.0,1.763008,1.763008
1000.0,95,190,1129.2736842105264,217469.0,1.739752,1.7164960000000002
1500.0,90,280,1178.8222222222223,323563.0,1.7256693333333333,1.6975040000000001
2000.0,109,389,1153.9174311926606,449340.0,1.79736,2.012432
2500.0,94,483,1120.9574468085107,554710.0,1.775072,1.68592
3000.0,87,570,1249.7011494252874,663434.0,1.7691573333333332,1.739584
3500.0,78,648,1285.3461538461538,763691.0,1.7455794285714283,1.604112
4000.0,86,734,1262.9883720930231,872308.0,1.744616,1.7378719999999999
4500.0,86,820,1333.593023255814,986997.0,1.7546613333333332,1.835024
5000.0,92,912,1063.5217391304348,1084841.0,1.7357455999999998,1.565504
5500.0,86,998,1181.7325581395348,1186470.0,1.7257745454545454,1.626064
6000.0,83,1081,1045.8072289156626,1273272.0,1.697696,1.388832
6500.0,96,1177,1170.0625,1385598.0,1.7053513846153847,1.797216
7000.0,91,1268,1041.8241758241759,1480404.0,1.6918902857142857,1.516896
7500.0,81,1349,1097.469135802469,1569299.0,1.6739189333333333,1.42232
8000.0,84,1433,1165.9761904761904,1667241.0,1.667241,1.5670719999999998
8500.0,100,1533,1160.04,1783245.0,1.6783482352941177,1.856064
9000.0,79,1612,1232.1645569620252,1880586.0,1.671632,1.557456
9500.0,89,1701,1193.426966292135,1986801.0,1.6730955789473685,1.6994400000000003
10000.0,94,1795,995.3404255319149,2080363.0,1.6642904,1.496992
10500.0,98,1893,1154.6734693877552,2193521.0,1.6712540952380952,1.810528
11000.0,95,1988,1096.2736842105264,2297667.0,1.6710305454545453,1.6663360000000003
11500.0,108,2096,1134.4722222222222,2420190.0,1.6836104347826089,1.960368
12000.0,75,2171,1159.1733333333334,2507128.0,1.6714186666666668,1.391008
12500.0,73,2244,1167.0684931506848,2592324.0,1.65908736,1.363136
13000.0,92,2336,1252.25,2707531.0,1.666172923076923,1.843312
13500.0,91,2427,1205.6593406593406,2817246.0,1.669479111111111,1.75544
14000.0,92,2519,1092.6195652173913,2917767.0,1.6672954285714285,1.608336
14500.0,106,2625,1088.9716981132076,3033198.0,1.673488551724138,1.846896
15000.0,98,2723,1257.142857142857,3156398.0,1.6834122666666667,1.9712
15500.0,100,2823,1156.38,3272036.0,1.6887927741935485,1.8502080000000003
16000.0,82,2905,1257.3292682926829,3375137.0,1.6875685,1.649616
