time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,288,288,1014.4375,292158.0,4.674528,4.674528
1000.0,270,558,1100.2555555555555,589227.0,4.713816,4.753104
1500.0,291,849,1017.8213058419244,885413.0,4.722202666666667,4.738976
2000.0,287,1136,1051.9268292682927,1187316.0,4.749264,4.830448
2500.0,296,1432,998.1756756756756,1482776.0,4.7448832,4.72736
3000.0,269,1701,1109.899628252788,1781339.0,4.750237333333333,4.777008
3500.0,280,1981,1069.2464285714286,2080728.0,4.755949714285714,4.790224
4000.0,286,2267,1033.402097902098,2376281.0,4.752562,4.728848
4500.0,270,2537,1112.7592592592594,2676726.0,4.758624,4.80712
5000.0,290,2827,1004.648275862069,2968074.0,4.748918399999999,4.661568
5500.0,276,3103,1073.177536231884,3264271.0,4.748030545454545,4.739152
6000.0,294,3397,986.0884353741496,3554181.0,4.738908,4.63856
6500.0,282,3679,1064.599290780142,3854398.0,4.743874461538461,4.803472
7000.0,286,3965,1040.5734265734266,4152002.0,4.745145142857143,4.761664
7500.0,279,4244,1070.7885304659499,4450752.0,4.7474688,4.78
8000.0,284,4528,1035.475352112676,4744827.0,4.744827,4.7052
8500.0,281,4809,1074.085409252669,5046645.0,4.749783529411765,4.829088
9000.0,261,5070,1117.655172413793,5338353.0,4.745202666666667,4.667328
9500.0,282,5352,1037.0531914893618,5630802.0,4.741728,4.679184
10000.0,293,5645,999.3412969283277,5923609.0,4.7388872,4.684912
10500.0,290,5935,1017.7586206896551,6218759.0,4.738102095238095,4.7224
11000.0,281,6216,1042.9395017793595,6511825.0,4.735872727272728,4.689056
11500.0,290,6506,1006.9758620689655,6803848.0,4.733111652173913,4.672368
12000.0,269,6775,1101.8438661710038,7100244.0,4.733496,4.742336
12500.0,276,7051,1051.1014492753623,7390348.0,4.72982272,4.641664
13000.0,270,7321,1129.8962962962962,7695420.0,4.735643076923076,4.881152
13500.0,279,7600,1058.831541218638,7990834.0,4.735309037037037,4.726624
14000.0,280,7880,1056.2571428571428,8286586.0,4.735192,4.732032
14500.0,290,8170,995.748275862069,8575353.0,4.73122924137931,4.620272
15000.0,282,8452,1065.6241134751774,8875859.0,4.733791466666667,4.808096000000001
15500.0,287,8739,1009.2857142857143,9165524.0,4.7305930322580645,4.63464
16000.0,281,9020,1061.950177935943,9463932.0,4.731966,4.774528
16500.0,271,9291,1086.8081180811807,9758457.0,4.7313730909090905,4.7124
17000.0,287,9578,1047.3379790940767,1.0059043E7,4.733667294117646,4.809376
17500.0,291,9869,1026.9621993127148,1.0357889E7,4.735034971428571,4.781536
