time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,219,219,605.1506849315068,132528.0,2.120448,2.120448
1000.0,255,474,545.3372549019608,271589.0,2.172712,2.224976
1500.0,245,719,629.9836734693878,425935.0,2.271653333333333,2.469536
2000.0,255,974,584.878431372549,575079.0,2.300316,2.386304
2500.0,247,1221,578.9716599190283,718085.0,2.297872,2.288096
3000.0,248,1469,598.108870967742,866416.0,2.310442666666667,2.373296
3500.0,246,1715,580.7317073170732,1009276.0,2.3069165714285713,2.28576
4000.0,217,1932,637.110599078341,1147529.0,2.295058,2.212048
4500.0,249,2181,640.2048192771084,1306940.0,2.323448888888889,2.550576
5000.0,227,2408,599.669603524229,1443065.0,2.308904,2.178
5500.0,223,2631,621.0717488789238,1581564.0,2.300456727272727,2.215984
6000.0,247,2878,595.9068825910931,1728753.0,2.305004,2.355024
6500.0,249,3127,601.4457831325301,1878513.0,2.312016,2.39616
7000.0,252,3379,611.1507936507936,2032523.0,2.3228834285714286,2.46416
7500.0,225,3604,604.5022222222223,2168536.0,2.3131050666666666,2.176208
8000.0,241,3845,604.1452282157676,2314135.0,2.314135,2.329584
8500.0,260,4105,587.5615384615385,2466901.0,2.3217891764705882,2.444256
9000.0,250,4355,601.976,2617395.0,2.3265733333333336,2.407904
9500.0,259,4614,589.4208494208494,2770055.0,2.3326778947368423,2.44256
10000.0,237,4851,628.2911392405064,2918960.0,2.335168,2.38248
10500.0,248,5099,564.7741935483871,3059024.0,2.3306849523809525,2.241024
11000.0,228,5327,586.3377192982456,3192709.0,2.321970181818182,2.13896
11500.0,253,5580,608.5928853754941,3346683.0,2.328127304347826,2.463584
12000.0,233,5813,597.6309012875537,3485931.0,2.323954,2.227968
12500.0,240,6053,605.025,3631137.0,2.3239276799999997,2.323296
13000.0,252,6305,602.0436507936508,3782852.0,2.327908923076923,2.42744
13500.0,236,6541,594.1144067796611,3923063.0,2.324778074074074,2.243376
14000.0,270,6811,574.8481481481482,4078272.0,2.3304411428571425,2.483344
14500.0,213,7024,600.5070422535211,4206180.0,2.3206510344827587,2.046528
15000.0,224,7248,595.4866071428571,4339569.0,2.3144367999999997,2.134224
15500.0,234,7482,579.9786324786324,4475284.0,2.309824,2.17144
16000.0,252,7734,581.7420634920635,4621883.0,2.3109415,2.345584
16500.0,251,7985,597.5617529880478,4771871.0,2.3136344242424243,2.399808
17000.0,251,8236,565.4621513944223,4913802.0,2.312377411764706,2.270896
17500.0,246,8482,571.2032520325204,5054318.0,2.3105453714285713,2.248256
18000.0,227,8709,628.2599118942732,5196933.0,2.309748,2.28184
18500.0,241,8950,590.4688796680498,5339236.0,2.3088588108108103,2.276848
19000.0,232,9182,639.6551724137931,5487636.0,2.3105835789473685,2.3744
19500.0,245,9427,613.465306122449,5637935.0,2.3129989743589743,2.404784
20000.0,229,9656,607.5109170305677,5777055.0,2.310822,2.22592
20500.0,235,9891,591.5659574468085,5916073.0,2.3087114146341463,2.224288
21000.0,205,10096,630.2536585365854,6045275.0,2.3029619047619048,2.067232
21500.0,247,10343,596.8987854251012,6192709.0,2.3042638139534883,2.358944
22000.0,231,10574,626.7662337662338,6337492.0,2.3045425454545456,2.316528
22500.0,272,10846,560.8933823529412,6490055.0,2.3075751111111114,2.441008
23000.0,223,11069,585.4349775784754,6620607.0,2.3028198260869566,2.088832
23500.0,231,11300,621.5238095238095,6764179.0,2.3026992340425534,2.297152
24000.0,253,11553,573.8458498023715,6909362.0,2.3031206666666666,2.322928
24500.0,243,11796,598.0246913580247,7054682.0,2.303569632653061,2.32512
25000.0,251,12047,609.394422310757,7207640.0,2.3064448000000004,2.447328
25500.0,253,12300,592.6798418972332,7357588.0,2.3082629019607848,2.399168
26000.0,241,12541,593.1286307053942,7500532.0,2.307856,2.287104
26500.0,227,12768,597.2643171806168,7636111.0,2.3052410566037733,2.169264
27000.0,266,13034,559.2443609022556,7784870.0,2.3066281481481483,2.380144
27500.0,260,13294,583.8307692307692,7936666.0,2.308848290909091,2.428736
28000.0,243,13537,617.0205761316872,8086602.0,2.310457714285714,2.398976
28500.0,257,13794,610.023346303502,8243378.0,2.3139306666666664,2.508416
29000.0,263,14057,603.9087452471483,8402206.0,2.3178499310344827,2.541248
29500.0,268,14325,555.973880597015,8551207.0,2.3189713898305087,2.384016
30000.0,243,14568,599.8600823045267,8696973.0,2.3191927999999997,2.332256
30500.0,250,14818,566.152,8838511.0,2.3182979672131148,2.264608
31000.0,255,15073,603.3176470588236,8992357.0,2.320608258064516,2.461536
31500.0,233,15306,647.7424892703863,9143281.0,2.3221031111111112,2.414784
32000.0,227,15533,621.431718061674,9284346.0,2.3210865,2.25704
32500.0,242,15775,597.7438016528926,9429000.0,2.3209846153846154,2.314464
33000.0,222,15997,619.6936936936937,9566572.0,2.3191689696969697,2.201152
33500.0,230,16227,611.591304347826,9707238.0,2.3181463880597017,2.250656
34000.0,259,16486,593.096525096525,9860850.0,2.3202,2.457792
34500.0,213,16699,586.6197183098592,9985800.0,2.3155478260869566,1.9992000000000003
35000.0,240,16939,558.7,1.0119888E7,2.313117257142857,2.145408
35500.0,248,17187,585.5403225806451,1.0265102E7,2.3132624225352107,2.323424
36000.0,246,17433,589.0934959349594,1.0410019E7,2.3133375555555555,2.318672
36500.0,253,17686,597.798418972332,1.0561262E7,2.3147971506849316,2.419888
37000.0,271,17957,578.2583025830259,1.071797E7,2.317398918918919,2.507328
37500.0,256,18213,590.4765625,1.0869132E7,2.31874816,2.418592
38000.0,283,18496,615.5689045936396,1.1043338E7,2.324913263157894,2.787296
38500.0,229,18725,597.5458515283843,1.1180176E7,2.3231534545454546,2.189408
39000.0,250,18975,543.812,1.1316129E7,2.321257230769231,2.175248
39500.0,211,19186,635.5071090047394,1.1450221E7,2.319032101265823,2.145472
40000.0,252,19438,601.9960317460317,1.1601924E7,2.3203848,2.427248
40500.0,232,19670,620.6336206896551,1.1745911E7,2.3201799506172835,2.303792
