time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,80,80,659.3,52744.0,0.843904,0.843904
1000.0,86,166,575.6162790697674,102247.0,0.817976,0.792048
1500.0,76,242,620.4605263157895,149402.0,0.7968106666666667,0.75448
2000.0,86,328,555.0,197132.0,0.788528,0.76368
2500.0,87,415,598.3793103448276,249191.0,0.7974112,0.832944
3000.0,65,480,595.5538461538462,287902.0,0.7677386666666667,0.619376
3500.0,73,553,620.027397260274,333164.0,0.7615177142857144,0.7241920000000002
4000.0,72,625,668.75,381314.0,0.762628,0.7704
4500.0,68,693,562.6617647058823,419575.0,0.7459111111111111,0.612176
5000.0,85,778,573.6588235294117,468336.0,0.7493375999999999,0.780176
5500.0,68,846,612.3970588235294,509979.0,0.7417876363636363,0.666288
6000.0,67,913,607.0746268656717,550653.0,0.734204,0.650784
6500.0,80,993,600.7625,598714.0,0.7368787692307692,0.768976
7000.0,51,1044,573.9607843137255,627986.0,0.7176982857142857,0.468352
7500.0,82,1126,603.8780487804878,677504.0,0.7226709333333333,0.792288
8000.0,63,1189,553.4761904761905,712373.0,0.712373,0.557904
8500.0,76,1265,569.1842105263158,755631.0,0.7111821176470587,0.692128
9000.0,59,1324,612.3559322033898,791760.0,0.7037866666666667,0.578064
9500.0,69,1393,639.304347826087,835872.0,0.7038922105263159,0.705792
10000.0,74,1467,593.1216216216217,879763.0,0.7038104,0.702256
10500.0,72,1539,655.4583333333334,926956.0,0.7062521904761904,0.755088
11000.0,77,1616,555.0,969691.0,0.7052298181818181,0.68376
11500.0,68,1684,532.8676470588235,1005926.0,0.6997746086956522,0.57976
12000.0,67,1751,572.8507462686567,1044307.0,0.6962046666666666,0.614096
12500.0,75,1826,571.44,1087165.0,0.6957856000000001,0.6857280000000001
13000.0,72,1898,540.2222222222222,1126061.0,0.6929606153846154,0.622336
13500.0,75,1973,572.12,1168970.0,0.6927229629629629,0.686544
14000.0,55,2028,613.2181818181818,1202697.0,0.6872554285714285,0.539632
14500.0,91,2119,669.8241758241758,1263651.0,0.6971867586206896,0.9752639999999999
15000.0,72,2191,489.8333333333333,1298919.0,0.6927568000000001,0.564288
15500.0,79,2270,601.2658227848101,1346419.0,0.6949259354838709,0.76
16000.0,73,2343,568.6164383561644,1387928.0,0.693964,0.664144
16500.0,78,2421,603.6025641025641,1435009.0,0.6957619393939395,0.753296
17000.0,70,2491,607.0714285714286,1477504.0,0.695296,0.67992
17500.0,72,2563,610.0694444444445,1521429.0,0.6955104,0.7028
18000.0,91,2654,514.8571428571429,1568281.0,0.6970137777777778,0.749632
18500.0,81,2735,572.4197530864197,1614647.0,0.6982257297297298,0.741856
19000.0,68,2803,589.5735294117648,1654738.0,0.6967317894736843,0.641456
19500.0,83,2886,598.1204819277109,1704382.0,0.6992336410256411,0.7943040000000001
20000.0,87,2973,601.9655172413793,1756753.0,0.7027011999999999,0.837936
20500.0,82,3055,552.1463414634146,1802029.0,0.7032308292682927,0.724416
21000.0,82,3137,618.4146341463414,1852739.0,0.7058053333333334,0.81136
21500.0,62,3199,587.1451612903226,1889142.0,0.7029365581395349,0.582448
22000.0,76,3275,547.0,1930714.0,0.7020778181818182,0.665152
22500.0,79,3354,525.1898734177215,1972204.0,0.701228088888889,0.66384
23000.0,87,3441,589.0114942528736,2023448.0,0.703808,0.819904
23500.0,89,3530,611.5730337078652,2077878.0,0.7073627234042553,0.87088
24000.0,81,3611,557.9876543209876,2123075.0,0.7076916666666667,0.723152
24500.0,54,3665,627.5185185185185,2156961.0,0.7043137959183673,0.542176
25000.0,71,3736,563.4788732394367,2196968.0,0.7030297600000001,0.640112
25500.0,62,3798,572.3064516129032,2232451.0,0.7003767843137254,0.567728
26000.0,81,3879,624.8271604938271,2283062.0,0.7024806153846154,0.809776
26500.0,75,3954,564.52,2325401.0,0.7020078490566037,0.677424
27000.0,80,4034,571.625,2371131.0,0.7025573333333333,0.73168
27500.0,85,4119,551.0705882352942,2417972.0,0.7034100363636364,0.7494560000000001
28000.0,83,4202,618.8674698795181,2469338.0,0.7055251428571429,0.8218560000000001
28500.0,68,4270,600.0735294117648,2510143.0,0.7046015438596491,0.65288
29000.0,46,4316,575.7173913043479,2536626.0,0.6997588965517241,0.42372800000000005
29500.0,77,4393,541.1558441558442,2578295.0,0.6991986440677966,0.666704
30000.0,67,4460,592.955223880597,2618023.0,0.6981394666666667,0.635648
30500.0,83,4543,600.2048192771084,2667840.0,0.6997613114754098,0.797072
31000.0,63,4606,533.3015873015873,2701438.0,0.6971452903225807,0.537568
31500.0,84,4690,619.0,2753434.0,0.6992848253968253,0.831936
32000.0,73,4763,675.4520547945206,2802742.0,0.7006855,0.788928
32500.0,72,4835,615.7222222222222,2847074.0,0.7008182153846154,0.709312
33000.0,82,4917,621.9146341463414,2898071.0,0.7025626666666668,0.815952
33500.0,76,4993,549.5131578947369,2939834.0,0.7020499104477613,0.668208
34000.0,70,5063,544.7714285714286,2977968.0,0.7006983529411765,0.610144
34500.0,93,5156,608.5591397849462,3034564.0,0.7036670144927537,0.9055359999999999
35000.0,86,5242,573.8604651162791,3083916.0,0.7048950857142857,0.789632
35500.0,68,5310,689.9411764705883,3130832.0,0.7055396056338028,0.750656
36000.0,89,5399,566.3370786516854,3181236.0,0.7069413333333334,0.806464
36500.0,83,5482,649.0,3235103.0,0.7090636712328767,0.861872
37000.0,64,5546,599.1875,3273451.0,0.7077731891891892,0.613568
37500.0,61,5607,611.983606557377,3310782.0,0.7063001600000001,0.597296
38000.0,16,5623,635.3125,3320947.0,0.6991467368421053,0.16264
38500.0,63,5686,677.6031746031746,3363636.0,0.6989373506493506,0.683024
39000.0,74,5760,591.7702702702703,3407427.0,0.6989593846153846,0.700656
39500.0,78,5838,574.9102564102565,3452270.0,0.6991939240506329,0.7174880000000001
40000.0,77,5915,596.8831168831168,3498230.0,0.699646,0.7353599999999999
40500.0,83,5998,626.0,3550188.0,0.7012717037037037,0.831328
