time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,436,436,614.5871559633027,267960.0,4.28736,4.28736
1000.0,474,910,556.7679324894515,531868.0,4.254944,4.222528
1500.0,432,1342,614.6851851851852,797412.0,4.252864,4.248704
2000.0,444,1786,576.4301801801802,1053347.0,4.213388,4.09496
2500.0,450,2236,591.5222222222222,1319532.0,4.222502400000001,4.25896
3000.0,440,2676,596.0727272727273,1581804.0,4.218144,4.196352
3500.0,447,3123,600.9351230425056,1850422.0,4.229536,4.297888
4000.0,429,3552,625.3123543123543,2118681.0,4.237362,4.292144
4500.0,415,3967,635.0674698795181,2382234.0,4.235082666666666,4.216848
5000.0,431,4398,593.6890951276102,2638114.0,4.2209824,4.094080000000001
5500.0,424,4822,612.7853773584906,2897935.0,4.215178181818182,4.157136
6000.0,446,5268,596.0044843049327,3163753.0,4.218337333333333,4.253088
6500.0,437,5705,608.5171624713959,3429675.0,4.221138461538461,4.254752
7000.0,437,6142,606.7574370709382,3694828.0,4.222660571428571,4.242448
7500.0,425,6567,610.6447058823529,3954352.0,4.217975466666667,4.152384
8000.0,439,7006,597.2004555808657,4216523.0,4.216523,4.194736
8500.0,447,7453,590.0469798657718,4480274.0,4.216728470588236,4.220016
9000.0,434,7887,600.5230414746544,4740901.0,4.2141342222222224,4.170032
9500.0,425,8312,605.2235294117647,4998121.0,4.208944,4.11552
10000.0,424,8736,621.3372641509434,5261568.0,4.2092544,4.215152
10500.0,446,9182,576.786995515695,5518815.0,4.204811428571428,4.115951999999999
11000.0,448,9630,591.8839285714286,5783979.0,4.206530181818182,4.242624
11500.0,435,10065,594.0919540229885,6042409.0,4.20341495652174,4.13488
12000.0,442,10507,601.6945701357466,6308358.0,4.205572,4.255184
12500.0,449,10956,582.1046770601337,6569723.0,4.204622720000001,4.18184
13000.0,451,11407,588.2549889135255,6835026.0,4.206169846153846,4.244848
13500.0,437,11844,596.4279176201374,7095665.0,4.204838518518518,4.170224
14000.0,436,12280,596.809633027523,7355874.0,4.203356571428571,4.163344
14500.0,415,12695,630.6096385542169,7617577.0,4.202801103448277,4.187248
15000.0,429,13124,593.5780885780886,7872222.0,4.1985184,4.07432
15500.0,447,13571,595.8210290827741,8138554.0,4.200544,4.261312
16000.0,444,14015,567.8626126126126,8390685.0,4.1953425,4.034096
16500.0,443,14458,591.489841986456,8652715.0,4.195255757575758,4.19248
17000.0,446,14904,591.4035874439462,8916481.0,4.195991058823529,4.220256
17500.0,452,15356,583.787610619469,9180353.0,4.1967327999999995,4.221952
18000.0,438,15794,587.134703196347,9437518.0,4.194452444444444,4.11464
18500.0,434,16228,599.2465437788019,9697591.0,4.1935528648648654,4.161168000000001
19000.0,418,16646,640.9138755980862,9965493.0,4.195997052631579,4.286432
19500.0,435,17081,608.1057471264368,1.0230019E7,4.196930871794872,4.232416
20000.0,431,17512,610.5058004640372,1.0493147E7,4.1972588,4.210048
20500.0,434,17946,601.7718894009216,1.0754316E7,4.196806243902439,4.178704
21000.0,428,18374,616.268691588785,1.1018079E7,4.197363428571429,4.220208
21500.0,441,18815,592.5170068027211,1.1279379E7,4.196978232558139,4.1808
22000.0,437,19252,607.7803203661327,1.1544979E7,4.198174181818182,4.2496
22500.0,458,19710,566.4235807860262,1.1804401E7,4.197120355555556,4.150752
23000.0,437,20147,584.7620137299771,1.2059942E7,4.194762434782608,4.088655999999999
23500.0,443,20590,595.3024830699774,1.2323661E7,4.19528885106383,4.219504
24000.0,461,21051,574.0368763557484,1.2588292E7,4.196097333333333,4.234096
24500.0,435,21486,605.983908045977,1.2851895E7,4.196537142857142,4.217648
25000.0,431,21917,606.5220417633411,1.3113306E7,4.19625792,4.182576
25500.0,437,22354,599.6636155606408,1.3375359E7,4.19619105882353,4.192848000000001
26000.0,427,22781,609.3091334894614,1.3635534E7,4.195548923076924,4.1628
26500.0,436,23217,591.1330275229358,1.3893268E7,4.194194113207547,4.123744
27000.0,456,23673,582.4276315789474,1.4158855E7,4.195216296296296,4.249392
27500.0,468,24141,579.0,1.4429827E7,4.197767854545455,4.335552
28000.0,430,24571,611.4209302325581,1.4692738E7,4.197925142857143,4.206576
28500.0,423,24994,610.6241134751773,1.4951032E7,4.196780912280702,4.132704
29000.0,436,25430,608.4770642201835,1.5216328E7,4.1976077241379315,4.244736
29500.0,464,25894,560.1228448275862,1.5476225E7,4.196942372881357,4.158352
30000.0,438,26332,601.4292237442922,1.5739651E7,4.197240266666666,4.214816
30500.0,447,26779,577.3937360178971,1.5997746E7,4.196130098360656,4.12952
31000.0,451,27230,581.9955654101996,1.6260226E7,4.19618735483871,4.19968
31500.0,422,27652,638.4123222748815,1.6529636E7,4.198002793650794,4.31056
32000.0,421,28073,634.3040380047506,1.6796678E7,4.1991695,4.272672
32500.0,435,28508,599.2896551724137,1.7057369E7,4.198736984615385,4.171055999999999
33000.0,418,28926,617.2200956937799,1.7315367E7,4.197664727272727,4.127967999999999
33500.0,430,29356,607.1441860465117,1.7576439E7,4.19735856716418,4.177152
34000.0,453,29809,582.2958057395143,1.7840219E7,4.197698588235293,4.22048
34500.0,437,30246,594.7986270022883,1.8100146E7,4.1971353043478254,4.158832
35000.0,441,30687,597.6167800453514,1.8363695E7,4.197416,4.216784
35500.0,442,31129,606.447963800905,1.8631745E7,4.198703098591549,4.2888
36000.0,446,31575,588.6995515695068,1.8894305E7,4.198734444444444,4.20096
36500.0,432,32007,607.2060185185185,1.9156618E7,4.198710794520547,4.197008
37000.0,446,32453,590.7645739910314,1.9420099E7,4.198940324324324,4.215696
37500.0,445,32898,592.1033707865168,1.9683585E7,4.1991648,4.215776
38000.0,426,33324,626.6760563380282,1.9950549E7,4.200115578947369,4.271424
38500.0,424,33748,602.5896226415094,2.0206047E7,4.198659116883117,4.087968
39000.0,455,34203,573.065934065934,2.0466792E7,4.198316307692307,4.171919999999999
39500.0,426,34629,614.744131455399,2.0728673E7,4.198212253164558,4.190096
40000.0,440,35069,597.1409090909091,2.0991415E7,4.198283,4.203872
40500.0,432,35501,624.2037037037037,2.1261071E7,4.199717728395061,4.314496
